current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
1997-07-01	1996-07-01	wolf	8.89	1997-07-01	1996-07-01	0	1936	17212.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	wolf	10.44	1998-07-01	1997-07-01	0	7568	78995.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	wolf	11.53	1999-07-01	1998-07-01	0	9636	111067.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	wolf	7.18	1998-07-01	1997-07-01	0	29584	212504.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	wolf	7.03	1999-07-01	1998-07-01	0	37668	264994.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	wolf	8.53	2000-07-01	1999-07-01	0	43688	372755.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	wolf	3.99	1999-07-01	1998-07-01	0	47961	191240.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	wolf	4.43	2000-07-01	1999-07-01	0	55626	246173.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1999-07-01	1998-07-01	wolf	5.88	2001-07-01	2000-07-01	0	47742	280607.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	wolf	2.88	2000-07-01	1999-07-01	0	64516	185502.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	wolf	4.61	2001-07-01	2000-07-01	0	55372	255432.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2000-07-01	1999-07-01	wolf	5.0	2002-07-01	2001-07-01	0	93726	468725.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	wolf	4.37	2001-07-01	2000-07-01	0	47524	207874.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	wolf	5.29	2002-07-01	2001-07-01	0	80442	425636.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2001-07-01	2000-07-01	wolf	8.16	2003-07-01	2002-07-01	0	75864	619221.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2002-07-01	2001-07-01	wolf	3.88	2002-07-01	2001-07-01	0	136161	528372.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2002-07-01	2001-07-01	wolf	6.64	2003-07-01	2002-07-01	0	128412	852166.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2002-07-01	2001-07-01	wolf	9.72	2004-07-01	2003-07-01	0	166419	1618088.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2003-07-01	2002-07-01	wolf	5.15	2003-07-01	2002-07-01	0	121104	624150.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2003-07-01	2002-07-01	wolf	6.01	2004-07-01	2003-07-01	0	156948	943889.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2003-07-01	2002-07-01	wolf	8.54	2005-07-01	2004-07-01	0	172608	1473267.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2004-07-01	2003-07-01	wolf	4.55	2004-07-01	2003-07-01	0	203401	925652.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2004-07-01	2003-07-01	wolf	5.81	2005-07-01	2004-07-01	0	223696	1300648.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2004-07-01	2003-07-01	wolf	6.65	2006-07-01	2005-07-01	0	206107	1371272.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2005-07-01	2004-07-01	wolf	2.93	2005-07-01	2004-07-01	0	246016	719872.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2005-07-01	2004-07-01	wolf	3.35	2006-07-01	2005-07-01	0	226672	759534.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2005-07-01	2004-07-01	wolf	4.57	2007-07-01	2006-07-01	0	250480	1143686.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2006-07-01	2005-07-01	wolf	2.68	2006-07-01	2005-07-01	0	208849	560478.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2006-07-01	2005-07-01	wolf	3.46	2007-07-01	2006-07-01	0	230785	798515.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2006-07-01	2005-07-01	wolf	4.29	2008-07-01	2007-07-01	0	215247	924478.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2007-07-01	2006-07-01	wolf	3.39	2007-07-01	2006-07-01	0	255025	863562.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2007-07-01	2006-07-01	wolf	3.72	2008-07-01	2007-07-01	0	237855	883981.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2007-07-01	2006-07-01	wolf	4.76	2009-07-01	2008-07-01	0	253510	1207914.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2008-07-01	2007-07-01	wolf	2.84	2008-07-01	2007-07-01	0	221841	629008.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2008-07-01	2007-07-01	wolf	3.5	2009-07-01	2008-07-01	0	236442	828493.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2008-07-01	2007-07-01	wolf	6.44	2010-07-01	2009-07-01	0	178038	1146716.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2009-07-01	2008-07-01	wolf	3.22	2009-07-01	2008-07-01	0	252004	812634.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
