current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance
1997-07-01	1996-07-01	wolf	8.89	1997-07-01	1996-07-01	0	1936	17212
1997-07-01	1996-07-01	wolf	10.38	1998-07-01	1997-07-01	0	5632	58488
1997-07-01	1996-07-01	wolf	11.44	1999-07-01	1998-07-01	0	6952	79565
1998-07-01	1997-07-01	wolf	6.06	1998-07-01	1997-07-01	0	16384	99224
1998-07-01	1997-07-01	wolf	6.2	1999-07-01	1998-07-01	0	20224	125422
1998-07-01	1997-07-01	wolf	7.83	2000-07-01	1999-07-01	0	24320	190448
1999-07-01	1998-07-01	wolf	4.06	1999-07-01	1998-07-01	0	24964	101248
1999-07-01	1998-07-01	wolf	4.65	2000-07-01	1999-07-01	0	30020	139600
1999-07-01	1998-07-01	wolf	5.89	2001-07-01	2000-07-01	0	33496	197384
2000-07-01	1999-07-01	wolf	2.68	2000-07-01	1999-07-01	0	36100	96792
2000-07-01	1999-07-01	wolf	4.4	2001-07-01	2000-07-01	0	40280	177130
2000-07-01	1999-07-01	wolf	4.93	2002-07-01	2001-07-01	0	70490	347195
2001-07-01	2000-07-01	wolf	3.87	2001-07-01	2000-07-01	0	44944	174088
2001-07-01	2000-07-01	wolf	5.0	2002-07-01	2001-07-01	0	78652	393332
2001-07-01	2000-07-01	wolf	8.04	2003-07-01	2002-07-01	0	72928	586027
2002-07-01	2001-07-01	wolf	3.55	2002-07-01	2001-07-01	0	137641	489228
2002-07-01	2001-07-01	wolf	6.66	2003-07-01	2002-07-01	0	127624	850336
2002-07-01	2001-07-01	wolf	9.68	2004-07-01	2003-07-01	0	165837	1604665
2003-07-01	2002-07-01	wolf	5.17	2003-07-01	2002-07-01	0	118336	611306
2003-07-01	2002-07-01	wolf	5.93	2004-07-01	2003-07-01	0	153768	911620
2003-07-01	2002-07-01	wolf	8.42	2005-07-01	2004-07-01	0	170968	1438758
2004-07-01	2003-07-01	wolf	4.52	2004-07-01	2003-07-01	0	199809	902358
2004-07-01	2003-07-01	wolf	5.81	2005-07-01	2004-07-01	0	222159	1291073
2004-07-01	2003-07-01	wolf	6.71	2006-07-01	2005-07-01	0	201150	1350152
2005-07-01	2004-07-01	wolf	2.87	2005-07-01	2004-07-01	0	247009	708394
2005-07-01	2004-07-01	wolf	3.34	2006-07-01	2005-07-01	0	223650	746517
2005-07-01	2004-07-01	wolf	4.57	2007-07-01	2006-07-01	0	246512	1127632
2006-07-01	2005-07-01	wolf	2.65	2006-07-01	2005-07-01	0	202500	536736
2006-07-01	2005-07-01	wolf	3.44	2007-07-01	2006-07-01	0	223200	768311
2006-07-01	2005-07-01	wolf	4.29	2008-07-01	2007-07-01	0	212400	910690
2007-07-01	2006-07-01	wolf	3.34	2007-07-01	2006-07-01	0	246016	821614
2007-07-01	2006-07-01	wolf	3.67	2008-07-01	2007-07-01	0	234112	858880
2007-07-01	2006-07-01	wolf	4.63	2009-07-01	2008-07-01	0	257920	1194624
2008-07-01	2007-07-01	wolf	2.87	2008-07-01	2007-07-01	0	222784	638362
2008-07-01	2007-07-01	wolf	3.44	2009-07-01	2008-07-01	0	245440	845074
2008-07-01	2007-07-01	wolf	6.48	2010-07-01	2009-07-01	0	177472	1150473
2009-07-01	2008-07-01	wolf	3.14	2009-07-01	2008-07-01	0	270400	850008
2009-07-01	2008-07-01	wolf	5.27	2010-07-01	2009-07-01	0	195520	1031175
2009-07-01	2008-07-01	wolf	7.46	2011-07-01	2010-07-01	0	282360	2107253
2010-07-01	2009-07-01	wolf	4.65	2010-07-01	2009-07-01	0	141376	656940
2010-07-01	2009-07-01	wolf	6.27	2011-07-01	2010-07-01	0	204168	1280787
2010-07-01	2009-07-01	wolf	6.44	2012-07-01	2011-07-01	0	201912	1300684
2011-07-01	2010-07-01	wolf	5.43	2011-07-01	2010-07-01	0	294849	1600978
2011-07-01	2010-07-01	wolf	6.5	2012-07-01	2011-07-01	0	291591	1895272
2011-07-01	2010-07-01	wolf	8.96	2013-07-01	2012-07-01	0	305709	2739252
